Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
48,1208,54,May 28,TOR,@,CHW,W7-2,CG,5,2,2,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,.204,.291,.304,.595,7,.49,0.059,.21,0.02%,1.41,16.00,21.40,RF
49,1209,55,May 29,TOR,@,CHW,W3-1,CG,4,3,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.207,.295,.310,.605,6,.93,0.030,.48,0.01%,0.22,11.00,15.40,RF
50,1210,56,May 31,TOR,,PIT,W5-3,CG(14),6,3,1,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,.209,.306,.310,.616,6,2.73,0.370,1.46,0.12%,0.93,13.00,18.70,RF
51,1211,57,Jun 1,TOR,,PIT,L1-8,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.204,.300,.304,.604,6,.46,-0.047,.27,-0.02%,-0.87,0.00,0.00,RF
52,1212,58,Jun 2,TOR,,PIT,W5-4,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.205,.299,.303,.602,7,.61,-0.012,.31,0.00%,-0.28,3.00,3.00,RF
53,1213,59,Jun 3,TOR,,BAL,L2-7,CG,4,4,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,.211,.303,.307,.609,6,.46,0.047,.28,0.02%,0.19,8.00,9.20,RF
54,1214,60,Jun 4,TOR,,BAL,L1-10,CG,3,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.213,.303,.322,.625,7,.77,-0.044,.42,-0.01%,0.50,14.00,18.70,RF
55,1215,61,Jun 5,TOR,,BAL,W3-2,CG,4,3,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.210,.302,.317,.619,5,1.20,-0.074,.52,-0.02%,-0.37,4.00,6.20,RF
56,1216,62,Jun 6,TOR,,BAL,W6-5,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.206,.297,.311,.608,5,.35,-0.035,.18,-0.01%,-0.83,0.00,0.00,RF
57,1217,63,Jun 7,TOR,@,OAK,L1-2,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.202,.292,.305,.597,5,1.48,-0.219,.79,-0.07%,-1.39,0.00,0.00,RF
58,1218,65 (1),Jun 9,TOR,@,OAK,W6-4,CG(10),4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.203,.291,.304,.596,6,1.69,-0.054,.90,-0.02%,0.11,10.00,12.20,RF
59,1219,66,Jun 10,TOR,@,MIL,L1-3,CG,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.200,.288,.300,.588,6,1.13,-0.087,.63,-0.03%,-0.65,0.00,0.00,RF
60,1220,67,Jun 11,TOR,@,MIL,W3-0,CG,4,3,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,.202,.291,.300,.592,7,.94,0.041,.48,0.01%,0.63,7.00,9.50,RF
