visitor_ab,visitor_sac_hits,visitor_sac_flies,visitor_hbp,visitor_walks,visitor_int_walks,visitor_,home_ab,home_sac_hits,home_sac_flies,home_hbp,home_walks,home_int_walks,visitor_pa,home_pa
31,0,0,0,5,0,0,34,0,0,0,4,0,36,38
38,0,0,0,2,0,0,42,0,0,0,3,0,40,45
34,0,0,0,1,0,0,30,0,0,0,5,0,35,35
35,0,0,0,1,0,0,31,0,0,0,5,0,36,36
34,0,0,0,5,0,0,34,0,1,0,6,0,39,41
37,0,0,0,4,0,0,32,0,0,0,3,0,41,35
34,1,0,0,2,0,0,38,0,0,0,4,1,37,43
36,0,0,1,1,0,0,34,0,0,0,6,0,38,40
35,0,1,0,5,0,0,39,0,1,2,0,0,41,42
35,0,0,1,5,1,0,32,0,0,0,3,0,42,35
34,0,0,0,6,0,0,38,0,0,0,2,0,40,40
36,2,0,0,2,0,0,36,0,1,0,2,0,40,39
37,0,1,1,4,0,0,32,0,0,0,3,0,43,35
32,0,0,0,5,0,0,33,0,0,1,3,0,37,37
33,0,1,0,2,0,0,30,1,1,0,3,1,36,36
38,0,1,1,6,0,0,35,0,2,0,3,0,46,40
34,0,0,1,1,0,0,37,0,1,0,0,0,36,38
36,0,0,1,4,0,0,33,0,0,0,3,0,41,36
31,0,1,0,5,0,0,30,0,1,0,4,0,37,35
35,1,0,1,1,0,0,35,0,0,0,6,1,38,42
39,0,0,0,6,0,0,33,0,1,1,4,0,45,39
35,0,0,0,1,0,0,35,0,0,0,5,0,36,40
28,0,0,0,3,0,1,31,0,0,3,6,0,32,40
33,0,1,0,5,0,0,40,0,0,0,4,0,39,44
38,0,0,1,3,0,0,33,0,0,1,5,0,42,39
39,0,0,0,2,0,0,31,0,0,0,4,0,41,35
35,0,0,1,6,0,0,33,0,0,1,5,1,42,40
33,0,0,0,6,0,1,34,0,0,1,2,0,40,37
36,0,1,0,5,0,0,37,0,0,0,2,0,42,39
32,0,0,0,9,0,0,30,0,0,0,3,0,41,33
32,1,0,0,0,0,0,25,0,1,0,4,0,33,30
31,0,0,0,0,0,1,29,0,0,1,1,0,32,31
43,0,0,2,4,1,0,42,0,0,1,5,0,50,48
35,0,0,0,1,0,0,32,0,0,0,3,0,36,35
44,0,1,0,6,1,0,43,0,1,0,7,5,52,56
32,0,1,1,5,0,0,36,0,0,0,1,0,39,37
35,0,0,0,3,0,0,27,0,0,1,3,0,38,31
28,0,0,0,1,0,0,35,0,0,2,7,0,29,44
28,0,0,0,1,0,0,32,0,0,0,3,0,29,35
38,1,0,0,1,0,0,35,0,0,0,5,0,40,40
34,0,1,1,3,0,0,35,0,0,0,2,0,39,37
32,0,0,0,2,0,0,35,0,1,0,2,0,34,38
28,0,0,0,6,0,0,30,0,1,1,1,0,34,33
35,0,0,1,4,0,0,44,0,0,0,2,0,40,46
38,1,0,1,8,1,0,27,0,0,1,5,0,49,33
36,0,0,0,2,0,0,33,0,0,1,2,0,38,36
40,1,0,0,2,0,0,33,0,0,1,4,0,43,38
32,0,0,0,3,0,0,30,0,0,1,3,0,35,34
31,0,0,0,3,0,0,26,0,2,0,9,0,34,37
35,0,0,0,2,0,0,34,0,0,3,2,0,37,39
30,0,0,0,2,0,0,29,0,0,0,2,0,32,31
32,0,0,0,2,0,0,35,0,0,0,5,0,34,40
32,0,0,1,5,0,0,30,0,0,0,1,0,38,31
35,0,0,2,5,0,0,34,0,0,0,6,0,42,40
38,0,1,0,4,0,0,40,0,0,1,4,0,43,45
36,1,0,0,6,0,0,37,0,1,0,2,0,43,40
34,1,0,1,2,0,0,29,0,1,0,6,0,38,36
40,0,0,0,3,0,0,35,0,0,1,4,0,43,40
37,0,0,0,3,1,0,34,0,1,1,1,0,41,37
30,0,0,2,5,0,1,30,0,0,0,6,0,38,36
27,0,0,1,6,0,0,26,0,1,2,4,0,34,33
39,0,0,0,4,0,0,34,1,1,1,6,1,43,44
37,0,1,1,3,0,0,31,0,1,0,2,0,42,34
34,0,0,0,1,0,0,35,0,0,0,1,0,35,36
32,0,0,0,5,0,0,34,0,0,0,1,0,37,35
38,0,1,0,4,2,0,36,0,1,0,5,0,45,42
31,0,0,0,6,0,0,34,0,0,0,2,0,37,36
36,0,0,0,3,0,0,36,0,0,0,2,0,39,38
33,0,0,0,4,0,0,32,0,0,1,2,0,37,35
36,0,0,0,3,0,0,31,0,1,0,1,0,39,33
38,0,0,0,3,1,0,32,0,0,0,3,0,42,35
