players,over_lines,over_odds,under_lines,under_odds,bet_type,home_tm,away_tm,date,hold,over_true_prob,under_true_prob
Adley Rutschman,0.5,6.0,0.5,1.1,Home Runs,BAL Orioles,TEX Rangers,2024-06-30,0.076,0.111,0.889
Adolis Garcia,0.5,3.65,0.5,1.25,Home Runs,BAL Orioles,TEX Rangers,2024-06-30,0.074,0.226,0.774
Andrew Knizner,0.5,6.5,0.5,1.091,Home Runs,BAL Orioles,TEX Rangers,2024-06-30,0.071,0.101,0.899
Anthony Santander,0.5,3.8,0.5,1.235,Home Runs,BAL Orioles,TEX Rangers,2024-06-30,0.073,0.216,0.784
Austin Hays,0.5,5.5,0.5,1.111,Home Runs,BAL Orioles,TEX Rangers,2024-06-30,0.082,0.122,0.878
Colton Cowser,0.5,8.5,0.5,1.05,Home Runs,BAL Orioles,TEX Rangers,2024-06-30,0.07,0.062,0.938
Davis Wendzel,0.5,6.0,0.5,1.1,Home Runs,BAL Orioles,TEX Rangers,2024-06-30,0.076,0.111,0.889
Derek Hill,0.5,8.5,0.5,1.04,Home Runs,BAL Orioles,TEX Rangers,2024-06-30,0.079,0.053,0.947
Gunnar Henderson,0.5,6.0,0.5,1.1,Home Runs,BAL Orioles,TEX Rangers,2024-06-30,0.076,0.111,0.889
Heston Kjerstad,0.5,7.5,0.5,1.062,Home Runs,BAL Orioles,TEX Rangers,2024-06-30,0.075,0.075,0.925
Jordan Westburg,0.5,5.25,0.5,1.125,Home Runs,BAL Orioles,TEX Rangers,2024-06-30,0.079,0.133,0.867
Jorge Mateo,0.5,6.5,0.5,1.083,Home Runs,BAL Orioles,TEX Rangers,2024-06-30,0.077,0.096,0.904
Josh Smith,0.5,9.0,0.5,1.04,Home Runs,BAL Orioles,TEX Rangers,2024-06-30,0.073,0.052,0.948
Marcus Semien,0.5,5.0,0.5,1.143,Home Runs,BAL Orioles,TEX Rangers,2024-06-30,0.075,0.147,0.853
Nathaniel Lowe,0.5,9.5,0.5,1.033,Home Runs,BAL Orioles,TEX Rangers,2024-06-30,0.073,0.044,0.956
Robbie Grossman,0.5,6.5,0.5,1.083,Home Runs,BAL Orioles,TEX Rangers,2024-06-30,0.077,0.096,0.904
Ryan O'Hearn,0.5,8.5,0.5,1.05,Home Runs,BAL Orioles,TEX Rangers,2024-06-30,0.07,0.062,0.938
Wyatt Langford,0.5,5.5,0.5,1.111,Home Runs,BAL Orioles,TEX Rangers,2024-06-30,0.082,0.122,0.878
Andrew Knizner,,12.0,,1.01,1st Home Run,BAL Orioles,TEX Rangers,2024-06-30,0.073,0.016,0.984
Heston Kjerstad,,,,,1st Home Run,BAL Orioles,TEX Rangers,2024-06-30,,,
Ryan O'Hearn,,,,,1st Home Run,BAL Orioles,TEX Rangers,2024-06-30,,,
Adley Rutschman,1.5,2.85,1.5,1.392,Hits,BAL Orioles,TEX Rangers,2024-06-30,0.069,0.31,0.69
Adolis Garcia,1.5,2.8,1.5,1.392,Hits,BAL Orioles,TEX Rangers,2024-06-30,0.075,0.312,0.688
Andrew Knizner,0.5,1.444,0.5,2.6,Hits,BAL Orioles,TEX Rangers,2024-06-30,0.077,0.66,0.34
Anthony Santander,0.5,1.392,0.5,2.85,Hits,BAL Orioles,TEX Rangers,2024-06-30,0.069,0.69,0.31
Austin Hays,0.5,1.435,0.5,2.65,Hits,BAL Orioles,TEX Rangers,2024-06-30,0.074,0.666,0.334
Colton Cowser,0.5,1.714,0.5,2.0,Hits,BAL Orioles,TEX Rangers,2024-06-30,0.083,0.543,0.457
Davis Wendzel,0.5,1.606,0.5,2.2,Hits,BAL Orioles,TEX Rangers,2024-06-30,0.077,0.587,0.413
Derek Hill,0.5,1.377,0.5,2.9,Hits,BAL Orioles,TEX Rangers,2024-06-30,0.071,0.698,0.302
Gunnar Henderson,0.5,1.4,0.5,2.8,Hits,BAL Orioles,TEX Rangers,2024-06-30,0.071,0.685,0.315
Heston Kjerstad,0.5,1.606,0.5,2.2,Hits,BAL Orioles,TEX Rangers,2024-06-30,0.077,0.587,0.413
Jordan Westburg,0.5,1.364,0.5,2.95,Hits,BAL Orioles,TEX Rangers,2024-06-30,0.072,0.705,0.295
Jorge Mateo,0.5,1.476,0.5,2.5,Hits,BAL Orioles,TEX Rangers,2024-06-30,0.077,0.644,0.356
Josh Smith,0.5,1.455,0.5,2.6,Hits,BAL Orioles,TEX Rangers,2024-06-30,0.072,0.657,0.343
Marcus Semien,1.5,2.45,1.5,1.5,Hits,BAL Orioles,TEX Rangers,2024-06-30,0.075,0.366,0.634
Nathaniel Lowe,0.5,1.435,0.5,2.65,Hits,BAL Orioles,TEX Rangers,2024-06-30,0.074,0.666,0.334
Robbie Grossman,0.5,1.4,0.5,2.8,Hits,BAL Orioles,TEX Rangers,2024-06-30,0.071,0.685,0.315
Ryan O'Hearn,0.5,1.588,0.5,2.25,Hits,BAL Orioles,TEX Rangers,2024-06-30,0.074,0.596,0.404
Wyatt Langford,1.5,3.05,1.5,1.345,Hits,BAL Orioles,TEX Rangers,2024-06-30,0.071,0.284,0.716
Adley Rutschman,1.5,2.05,1.5,1.69,Total Bases,BAL Orioles,TEX Rangers,2024-06-30,0.08,0.446,0.554
Adolis Garcia,1.5,1.8,1.5,1.909,Total Bases,BAL Orioles,TEX Rangers,2024-06-30,0.079,0.517,0.483
Andrew Knizner,1.5,2.25,1.5,1.571,Total Bases,BAL Orioles,TEX Rangers,2024-06-30,0.081,0.4,0.6
Anthony Santander,1.5,2.05,1.5,1.714,Total Bases,BAL Orioles,TEX Rangers,2024-06-30,0.071,0.45,0.55
Austin Hays,1.5,2.25,1.5,1.588,Total Bases,BAL Orioles,TEX Rangers,2024-06-30,0.074,0.404,0.596
Colton Cowser,0.5,1.714,0.5,2.0,Total Bases,BAL Orioles,TEX Rangers,2024-06-30,0.083,0.543,0.457
Davis Wendzel,0.5,1.571,0.5,2.25,Total Bases,BAL Orioles,TEX Rangers,2024-06-30,0.081,0.6,0.4
Derek Hill,1.5,2.25,1.5,1.588,Total Bases,BAL Orioles,TEX Rangers,2024-06-30,0.074,0.404,0.596
Gunnar Henderson,1.5,2.25,1.5,1.588,Total Bases,BAL Orioles,TEX Rangers,2024-06-30,0.074,0.404,0.596
Heston Kjerstad,0.5,1.606,0.5,2.2,Total Bases,BAL Orioles,TEX Rangers,2024-06-30,0.077,0.587,0.413
Jordan Westburg,1.5,2.1,1.5,1.69,Total Bases,BAL Orioles,TEX Rangers,2024-06-30,0.068,0.44,0.56
Jorge Mateo,1.5,2.35,1.5,1.556,Total Bases,BAL Orioles,TEX Rangers,2024-06-30,0.068,0.388,0.612
Josh Smith,1.5,2.45,1.5,1.5,Total Bases,BAL Orioles,TEX Rangers,2024-06-30,0.075,0.366,0.634
Marcus Semien,1.5,1.833,1.5,1.87,Total Bases,BAL Orioles,TEX Rangers,2024-06-30,0.08,0.506,0.494
Nathaniel Lowe,1.5,2.55,1.5,1.465,Total Bases,BAL Orioles,TEX Rangers,2024-06-30,0.075,0.349,0.651
Robbie Grossman,1.5,2.35,1.5,1.541,Total Bases,BAL Orioles,TEX Rangers,2024-06-30,0.075,0.384,0.616
Ryan O'Hearn,0.5,1.588,0.5,2.25,Total Bases,BAL Orioles,TEX Rangers,2024-06-30,0.074,0.596,0.404
Wyatt Langford,1.5,2.0,1.5,1.741,Total Bases,BAL Orioles,TEX Rangers,2024-06-30,0.074,0.461,0.539
Adley Rutschman,0.5,2.6,0.5,1.455,RBIs,BAL Orioles,TEX Rangers,2024-06-30,0.072,0.343,0.657
Adolis Garcia,0.5,2.0,0.5,1.741,RBIs,BAL Orioles,TEX Rangers,2024-06-30,0.074,0.461,0.539
